auxcosp,descr,unidad,grupplat
7.2462925,DAIQUIRI S/A DURAZNO,COPA,B14
19.7366778,CLAMATO NAT CON ALMEJAS,COPA,B14
26.6290586,CLAMATO CERVEZA Y ALMEJAS,COPA,B14
11.069838,PANNA COTTA CON FRUTTA,ORDEN,A5
48.7572697,MARTELL VSOP,COPA,B3
53.879,CIGARROS,PIEZA,O1
17.5110098,GELATO,ORDEN,A20
0.0,TARTA MIA,ORDEN,A5
0.0078789,EXTRA CAMARON U1***,PIEZA,A5
23.6842105,EXTRA PROSCIUTTO,ORDEN,A22
8.2165263,EXTRA DE ESPARRAGOS,ORDEN,A22
4.8132817,PAPAS AL ROMERO,ORDEN,A5
5.1532729,EXTRA PURE DE PAPA,ORDEN,A22
1.3799582,EXTRA CHILES TOREADOS,ORDEN,A5
3.2238548,SALSA MEDITERRANEA,ORDEN,A5
19.7708039,SALSA PESTO,ORDEN,A7
16.8237315,PAPA HORNO GORGONZOLA,ORDEN,A5
6.4788803,EXTRA DE FRESAS,ORDEN,A22
2.3986259,EXTRA DE PERA,ORDEN,A22
2.1105318,EXTRA DE MANZANA,ORDEN,A22
13.4212302,VERDURAS A LA PARRILLA,ORDEN,A5
52.1777778,BOLA MOZZARELLA BUFALA,ORDEN,A22
47.70695,BOLA MOZZARELLA VACA,ORDEN,A22
26.6414957,CARPACCIO SALMONE AFFUMICAT 17,ORDEN,AZ
14.4326201,EXTRA PECHUGA PARRILLA,ORDEN,A22
202.9999875,VALPOLLICELLA RIPASSO 375,BOTELLA,V18
24.1544216,SALSA 4 FORMAGGI,ORDEN,A7
4.6779062,EXTRA DE SALAME,ORDEN,A22
9.796,EXTRA PROSCIUTTO COTTO,ORDEN,A22
0.0,DESCORCHE VINO,ORDEN,B17
58.4525113,RISOTTO AL NERO DI SEPPIA,ORDEN,A16
0.0,MOUSSE DE CHOCOLATE,ORDEN,A5
53.8602119,CONFETTURA DI FRAGOLA,ORDEN,A5
7.7964963,SALSA AL POMODORO ORDEN,ORDEN,A7
3.585409,SALSA AL BURRO,ORDEN,A7
6.2441454,SALSA ALLA ARRABIATA,ORDEN,A7
6.9967186,SALSA ALLA PANNA,ORDEN,A7
18.229667,SALSA ALLA PUTANESCA,ORDEN,A7
7.3846154,EXTRA ARUGULA,ORDEN,A22
19.1529144,POLLO ALLA GRIGLIA,ORDEN,A5
5.8333335,EXTRA ANCHOAS,ORDEN,A22
2.9361479,EXTRA ACEITUNAS NEGRAS,ORDEN,A22
10.718191,EXTRA CHAMPIÑONES,ORDEN,A22
13.5626531,EXTRA ACEITUNAS PREPARADAS,ORDEN,A22
8.1821076,VASO CON LECHE,VASO,B16
13.0697956,CHINCHON CAMP COPA,COPA,B11
11.7600016,MARTINI DE MANZANA,COPA,B18
24.7888884,RUM CHATA COLADO,COPA,B14
27.5660898,ABC,COPA,B0
14.1625165,MARTINI DE PERA,COPA,B18
51.2739473,BLANC CASSIS,COPA,B14
63.7962101,JACK SINGLE BARREL,COPA,B10
0.770005,***WOODFORD RESERVE COPA,COPA,B0
26.6805736,GNOCCHI SORRENTINA,ORDEN,A14
34.9546123,GELATO DOPIO,ORDEN,A20
4.8693478,EXTRA PAN BRUSCHETTA,ORDEN,A5
14.7,CABERNET TAVOLA COPA,COPA,V17
6.741189,PROFITEROL CUMPLEAÑOS,ORDEN,A5
25.4514718,FLOR DE CAÑA 7 COPA,COPA,B1
10.2581958,FLOR DE CAÑA 12 COPA,COPA,B1
26.8955032,LINGUINE ALLA PALERMITANA***,ORDEN,A5
63.1970705,PESCE AI FRUTTI DI MARE,ORDEN,A5
57.6584569,PIZZA DI SALMONE AFFUMICATO,ORDEN,A5
19.0041372,MOLTEN,ORDEN,A20
336.206925,***YUMANO***,BOTELLA,V16
409.629975,ALBAROLO,BOTELLA,V7
465.518975,***5 ESTRELLAS***,BOTELLA,V16
241.379325,TINTO DE LA CASA,BOTELLA,V16
48.275865,TINTO DE LA CASA COPA,COPA,V16
17.696438,SANGRIA PREPARADA,COPA,B14
47.2528039,JARRA DE SANGRIA PREPARADA,JARRA,B14
0.0,AMARETTO 2X1,COPA,B11
29.9854806,JARRA DE LIMONADA DELLA CASA,JARRA,B13
10.4878434,MOUSSE DE PLATANO,ORDEN,A5
0.155,ACEITE UNION EUROPEA C,ML,M0
0.0540163,ACEITE DE OLIVO C,ML,M0
0.023,ACEITE DE FREIDORA C,ML,M0
0.0978716,ACEITUNA NEGRA C,GR,M0
0.1494118,ACEITUNA VERDE C,GR,M0
0.1072368,SAL CON AJO C,GR,M0
0.04628,AJONJOLI C,GR,M0
0.2416667,ALCAPARRAS C,GR,M0
0.2066793,ALMEJAS B,GR,M9
0.279,ALMENDRA EN POLVO,GR,M0
0.026,ALUBIAS C,GR,M0
0.075197,ARROZ ARBORIO C,GR,M0
0.21,AVELLANA ENTERA C,GR,M0
63.9666667,AZAFRAN C,GR,M0
0.028,AZUCAR GLASS C,GR,M0
0.0195315,AZUCAR REFINADA C,GR,M0
0.475,CAFE EN GRANO LAVAZZA B,GR,M8
0.525,CAFE DESCAFEINADO B,GR,M8
0.3386302,CANELA B,GR,M8
0.0,CEBOLLITAS EN SALMUERA B,GR,M9
0.1117647,CEREZAS MARRASQUINO B,GR,M9
0.3509637,CHAI EN POLVO B,GR,M8
0.021,CHAMOY B,ML,M9
0.0825424,CHIPOTLES ADOBADOS C,GR,M0
0.136235,CHOCOLATE TURIN MARQUETA C,GR,M0
0.1221333,CHOCOLATE DON GUSTAVO B,GR,M8
0.0821569,COCKTAIL DE FRUTA B,GR,M9
0.0245,COCOA EN POLVO C,GR,M0
0.04799,CREMA DE COCO CALAHUA B,ML,M9
0.0574967,DURAZNOS EN ALMIBAR C,GR,M0
1.5,ENELDO SECO C,GR,M0
0.0138887,FECULA DE MAIZ C,GR,M0
0.3888889,ANCHOA EN FILETE C,GR,M0
0.024,FRIJOL C,GR,M0
0.0207571,FUSILLI BARILLA C,GR,M0
0.122,GNOCCHI C,GR,M0
0.03569,GRANADINA B,ML,M9
0.1695,GRENETINA C,GR,M0
0.0091818,HARINA HOJA DE PLATA C,GR,M0
0.017,HARINA INTEGRAL C,GR,M00
0.0083705,HARINA OMEGA C,GR,M0
0.0032667,HIELO GOURMET B,GR,M9
2.34,HONGO PORCINI SECO C,GR,M0
0.0315732,HUEVO C,GR,M0
0.16,ISOMALT C,GR,M0
0.0393333,JALAPEÑOS EN VINAGRE C,GR,M0
0.15,JUGO MAGGI GRANDE B,ML,M9
20.5,JUGO MAGGI CHICO C,PIEZA,M0
0.0464286,KNORR SUIZA C,GR,M0
0.036778,LECHE CARNATION B,ML,M8
0.0217695,LECHE TETRAPACK B,ML,M8
0.0474467,LEVADURA FRESCA C,GR,M0
0.0389979,LINGUINE BOLSA ITALIANO C,GR,M0
0.0351233,MANTECA VEGETAL C,GR,M0
0.0520882,MAYONESA C,GR,M0
0.0657277,MIEL DE ABEJA C,ML,M0
0.064,MIEL DE MAPLE C,ML,M0
0.0516,MIGUELITO EN POLVO B,GR,M9
0.1213873,MOSTAZA DIJON C,GR,M0
0.222,NUEZ MITAD C,GR,M0
0.1642384,NUEZ MOSCADA C,GR,M0
0.15,NUEZ PARTIDA C,GR,M0
0.0480443,OREGANO DE CASTILLA C,GR,M0
0.168,PALILLOS B,PIEZA,M00
0.0790476,PAN MOLIDO C,GR,M0
0.0460559,PASAS C,GR,M0
0.0,PECTINA C,GR,M00
0.0327204,PENNE BARILLA C,GR,M0
0.386413,HOJUELAS DE PEPERONCINO C,GR,M0
0.035049,PEPINILLO EN REBANADAS C,GR,M0
0.075,PIMIENTA NEGRA C,GR,M0
0.8627816,PIÑON BLANCO C,GR,M0
0.476,PIÑON ROSA C,GR,M00
0.08816,P***,PIEZA,M7
0.0854626,ROYAL C,GR,M0
0.2296296,SAL CON APIO B,GR,M9
0.004332,SAL REFINADA C,GR,M0
0.654,SALSA TARTUFATA C,GR,M0
0.0936842,SALSA INGLESA GRANDE B,ML,M9
19.5,SALSA INGLESA CHICA C,PIEZA,M0
32.0,SALSA TABASCO CHICA C,PIEZA,M0
0.0294788,SPAGHETTI LUIGI C,GR,M0
0.2616,SPLENDA SOBRE B,PIEZA,M8
0.2803,STEVIA SOBRE B,PIEZA,M8
0.16,AZUCAR SOBRE B,PIEZA,M8
28.0,VAINA DE VAINILLA C,PIEZA,M0
0.035,VAINILLA LIQUIDA C,ML,M0
0.0746,VINAGRE BALSAMICO C,ML,M0
0.0087355,VINAGRE BLANCO C,ML,M0
0.0433883,VINO BLANCO CALIFORNIA C,ML,M0
0.0433879,VINO TINTO CALIFORNIA B,ML,M9
1.1080286,CARDENAL DE MENDOZA,ML,MJ
0.7643857,CARLOS I,ML,MJ
0.1958143,FUNDADOR,ML,MJ
0.9859286,GRAN DUQUE DE ALBA,ML,MJ
0.0,LEPANTO,ML,MJ
0.2312857,MAGNO,ML,MJ
0.2215429,TERRY CENTENARIO,ML,M00
0.9667429,TORRES 20 AÑOS,ML,MJ
0.2980286,TORRES X,ML,MJ
0.09,BROCHETA DE CERDO,GR,M00
0.14652,BROCHETA DE RES,GR,M00
0.0990157,SALCHICHA LUGANEGA VENETA,GR,M00
40.5082828,CHULETON,PIEZA,M3
0.1384615,ESPALDILLA DE CORDERO,GR,M00
0.31,FILETE DE RES,GR,M3
0.00275,XXX,PIEZA,M00
0.08,CARNE MOLIDA DE CERDO,GR,M3
0.0918861,CARNE MOLIDA DE RES,GR,M3
0.1,PECHUGA DE POLLO SERVICIO,GR,M3
0.0749493,PECHUGA DE POLLO PERSONAL,GR,M3
0.4509569,RACK DE CORDERO,GR,M3
160.7644444,RIB EYE 300,PIEZA,M3
9.5183333,CERVEZA,PIEZA,MT
0.0,DON PERIGNON BRUT,BOTELLA,M00
1076.72,MOET CHANDON BRUT,BOTELLA,ML
1076.72,MOET CHANDON NECTAR,BOTELLA,ML
1068.1,MOET CHANDON NECTAR ROSE,BOTELLA,ML
1016.38,MOET CHANDON ROSE,BOTELLA,M00
0.0,VIUDA DE CLICQUOT BRUT,BOTELLA,M00
0.0,VIUDA DE CLICQOUT ROSE,BOTELLA,M00
2450.0,VIUDA DE CLICQOUT GRAN DAME,BOTELLA,M00
0.4501933,BEEFEATER,ML,M00
0.45724,BOMBAY,ML,MM
0.3902267,TANQUERAY,ML,MM
0.5136714,AMARETTO D SARONNO,ML,MR
0.17144,AMARETTO CONTI,ML,M00
0.3814,AMARO AVERNA,ML,MR
0.3552667,ANIS LAS CADENAS,ML,MR
0.3420857,BAILEYS,ML,MR
0.06207,CACAO BLANCA,ML,M00
0.0,CACAO OBSCURA,ML,M00
0.3413733,CAMPARI,ML,MR
0.7046729,CHARTREUSSE AMARILLO,ML,M00
1.0592429,CHARTREUSSE VERDE,ML,MR
0.20974,CHINCHON CAMPECHANO,ML,MR
